Date,Longitude,Latitude,Depth,Type,Magnitude,Location,EventID,TimeName,TypeName,MagnitudeName
"20/05/2025 22:36:53",28.3858,40.815,8.16,"MW",4,"Marmara Denizi - [23.63 km] Büyükçekmece (İstanbul)",661816,"AFAD","AFAD","AFAD"
"25/04/2025 19:33:15",28.4311,40.8558,7.01,"MW",4.3,"Marmara Denizi - [17.82 km] Büyükçekmece (İstanbul)",658727,"AFAD","AFAD","AFAD"
"24/04/2025 06:19:19",28.3061,40.8411,7,"MW",4.1,"Marmara Denizi - [24.56 km] Büyükçekmece (İstanbul)",658424,"AFAD","AFAD","AFAD"
"23/04/2025 14:12:57",28.3142,40.8333,7.02,"MW",4.9,"Marmara Denizi - [24.82 km] Büyükçekmece (İstanbul)",658188,"AFAD","AFAD","AFAD"
"23/04/2025 12:46:13",28.2178,40.8506,10.01,"MW",4,"Marmara Denizi - [24.46 km] Silivri (İstanbul)",658161,"AFAD","AFAD","AFAD"
"23/04/2025 12:02:32",28.4025,40.8769,7.02,"MW",4.9,"Marmara Denizi - [16.77 km] Büyükçekmece (İstanbul)",658150,"AFAD","AFAD","AFAD"
"23/04/2025 12:02:10",28.4369,40.8908,7.09,"MW",4.5,"Marmara Denizi - [14.24 km] Büyükçekmece (İstanbul)",658151,"AFAD","AFAD","AFAD"
"23/04/2025 12:01:02",28.3428,40.8367,7.01,"MW",4.8,"Marmara Denizi - [23.15 km] Büyükçekmece (İstanbul)",658152,"AFAD","AFAD","AFAD"
"23/04/2025 11:51:20",28.3847,40.9067,7,"ML",4.4,"Marmara Denizi - [14.74 km] Büyükçekmece (İstanbul)",658149,"AFAD","AFAD","AFAD"
"23/04/2025 11:51:19",28.3267,40.8369,6.99,"MW",5.9,"Marmara Denizi - [23.88 km] Büyükçekmece (İstanbul)",658153,"AFAD","AFAD","AFAD"
"23/04/2025 11:49:10",28.2444,40.86,6.92,"MW",6.2,"Marmara Denizi - [23.16 km] Silivri (İstanbul)",658148,"AFAD","AFAD","AFAD"
"19/07/2024 21:26:09",27.4636,40.6808,7.61,"MW",4.1,"Marmara Denizi - [09.69 km] Marmara (Balıkesir)",633719,"AFAD","AFAD","AFAD"
"23/02/2024 13:14:32",29.1608,40.4181,10.86,"MW",4.1,"Gemlik (Bursa)",620807,"AFAD","AFAD","AFAD"
"17/12/2023 21:53:52",29.0994,40.7217,11.18,"MW",4.1,"Marmara Denizi - [08.52 km] Çınarcık (Yalova)",613175,"AFAD","AFAD","AFAD"
"04/12/2023 08:42:20",28.8319,40.4269,8.98,"MW",5.1,"Marmara Denizi - Gemlik Körfezi - [04.73 km] Mudanya (Bursa)",611620,"AFAD","AFAD","AFAD"
"07/11/2023 21:05:48",27.526,40.471,4.33,"MW",4.1,"Marmara Denizi - [03.10 km] Marmara (Balıkesir)",608882,"AFAD","AFAD","AFAD"
"13/12/2022 04:21:16",27.11,40.364,12.12,"MW",4.3,"Biga (Çanakkale)",538260,"AFAD","AFAD","AFAD"
"20/02/2022 21:20:11",27.404,40.7186,10.42,"Mw",4.1,"Marmara Denizi - [06.73 km] Şarköy (Tekirdağ)",521277,"AFAD","AFAD","AFAD"
"05/05/2021 08:42:11",27.3946,40.346,10.24,"Mw",4,"Marmara Denizi - Erdek Körfezi - [04.19 km] Biga (Çanakkale)",501787,"AFAD","AFAD","AFAD"
"24/09/2020 15:38:31",28.092,40.8268,6.83,"Mw",4.2,"Marmara Denizi - [19.14 km] Marmaraereğlisi (Tekirdağ)",480902,"AFAD","AFAD","AFAD"
"08/09/2020 23:57:23",27.4096,40.6886,9.91,"Mw",4.1,"Marmara Denizi - [08.60 km] Şarköy (Tekirdağ)",480065,"AFAD","AFAD","AFAD"
"11/01/2020 14:37:36",28.2086,40.8646,10.82,"Mw",4.7,"Marmara Denizi - [23.02 km] Silivri (İstanbul)",456426,"AFAD","AFAD","AFAD"
"10/10/2019 18:52:03",29.2473,40.6778,13.86,"Mw",4,"Marmara Denizi - [02.48 km] Merkez (Yalova)",449380,"AFAD","AFAD","AFAD"
"26/09/2019 13:26:36",28.2726,40.8416,4.58,"Mw",4.1,"Marmara Denizi - [25.02 km] Silivri (İstanbul)",447925,"AFAD","AFAD","AFAD"
"26/09/2019 12:59:25",28.214,40.8818,7.97,"Mw",5.8,"Marmara Denizi - [21.07 km] Silivri (İstanbul)",447923,"AFAD","AFAD","AFAD"
"24/09/2019 10:00:22",28.216,40.8836,5.91,"Mw",4.6,"Marmara Denizi - [20.84 km] Silivri (İstanbul)",447733,"AFAD","AFAD","AFAD"
"04/03/2019 22:07:27",28.4505,40.457,13.72,"Mw",4,"Marmara Denizi - [10.25 km] Karacabey (Bursa)",432459,"AFAD","AFAD","AFAD"
"19/02/2019 22:33:55",27.1253,40.3521,6.79,"Mw",4,"Biga (Çanakkale)",431501,"AFAD","AFAD","AFAD"
"20/12/2018 07:34:24",28.9716,40.5938,12.47,"Mw",4.5,"Çınarcık (Yalova)",427611,"AFAD","AFAD","AFAD"
