İlçe;Latitude;Longitude
Adalar;40.8708;29.1186
Arnavutköy;41.1853;28.7392
Ataşehir;40.9916;29.127
Avcılar;40.9796;28.7224
Bağcılar;41.039;28.8567
Bahçelievler;40.9976;28.8507
Bakırköy;40.9761;28.857
Başakşehir;41.0932;28.8025
Bayrampaşa;41.046;28.8981
Beşiktaş;41.0438;29.0094
Beykoz;41.1258;29.1042
Beylikdüzü;41.0019;28.6406
Beyoğlu;41.0386;28.9856
Büyükçekmece;41.0201;28.5846
Çatalca;41.1456;28.4669
Çekmeköy;41.0265;29.2005
Esenler;41.0437;28.8812
Esenyurt;41.0349;28.6783
Eyüpsultan;41.077;28.933
Fatih;41.0128;28.9497
Gaziosmanpaşa;41.0646;28.9227
Güngören;41.0202;28.8695
Kadıköy;40.987;29.0275
Kağıthane;41.0777;28.9677
Kartal;40.8994;29.1872
Küçükçekmece;40.9951;28.7795
Maltepe;40.9397;29.1532
Pendik;40.8742;29.2687
Sancaktepe;40.9928;29.2405
Sarıyer;41.1708;29.0505
Silivri;41.0736;28.2465
Sultanbeyli;40.9637;29.2666
Sultangazi;41.1016;28.89
Şile;41.1793;29.6121
Şişli;41.0605;28.987
Tuzla;40.8177;29.3003
Ümraniye;41.0295;29.1242
Üsküdar;41.0227;29.0235
Zeytinburnu;40.9976;28.9012
