İlçe,Nüfus_2024,Yuzolcumu_km2
ESENYURT,988369,43.44
KÜÇÜKÇEKMECE,789033,118.22
PENDİK,749356,190.26
ÜMRANİYE,727819,45.3
BAĞCILAR,713954,22.44
BAHÇELİEVLER,560686,16.7
SULTANGAZİ,532601,36.43
MALTEPE,532092,50.43
BAŞAKŞEHİR,520467,104.33
ÜSKÜDAR,512881,35.71
SANCAKTEPE,502077,61.9
GAZİOSMANPAŞA,493845,40.52
KARTAL,475859,38.54
KADIKÖY,462189,25.2
KAĞITHANE,444820,14.87
AVCILAR,440534,42.59
ESENLER,423625,5.21
EYÜPSULTAN,420706,242.6
BEYLİKDÜZÜ,415290,37.21
ATAŞEHİR,414866,25.2
SULTANBEYLİ,389193,29.09
FATİH,354472,15.62
ARNAVUTKÖY,348464,506.55
SARIYER,342582,151.3
ÇEKMEKÖY,336739,152.06
TUZLA,301400,123.7
BÜYÜKÇEKMECE,280528,196.31
ZEYTİNBURNU,278344,14.08
BAYRAMPAŞA,268305,8.97
GÜNGÖREN,264831,7.21
ŞİŞLİ,257056,10.69
BEYKOZ,245025,315.0
SİLİVRİ,232156,893.82
BAKIRKÖY,227683,29.64
BEYOĞLU,216688,8.76
BEŞİKTAŞ,213802,11.41
ÇATALCA,167284,1111.23
ŞİLE,80399,736.35
ADALAR,48366,11.05
