İlçe,YESIL_ALAN_ARALIGI (m²),YESIL_OLMAYAN_ALAN_SKORU
BESIKTAS,0.60 - 3.48,1.0
BEYOGLU,0.60 - 3.48,1.0
FATIH,0.60 - 3.48,1.0
BAYRAMPASA,0.60 - 3.48,1.0
ESENLER,0.60 - 3.48,1.0
KAGITHANE,0.60 - 3.48,1.0
GUNGOREN,0.60 - 3.48,1.0
BAGCILAR,0.60 - 3.48,1.0
BAHCELIEVLER,3.49 - 7.62,0.8
BAKIRKOY,3.49 - 7.62,0.8
KADIKOY,3.49 - 7.62,0.8
MALTEPE,3.49 - 7.62,0.8
PENDIK,3.49 - 7.62,0.8
TUZLA,3.49 - 7.62,0.8
SULTANBEYLI,3.49 - 7.62,0.8
AVCILAR,3.49 - 7.62,0.8
BASAKSEHIR,3.49 - 7.62,0.8
KUCUKCEKMECE,3.49 - 7.62,0.8
ATASEHIR,7.63 - 15.44,0.6
CEKMEKOY,7.63 - 15.44,0.6
SULTANGAZI,7.63 - 15.44,0.6
UMRANIYE,7.63 - 15.44,0.6
EYUPSULTAN,15.45 - 37.71,0.4
SARIYER,15.45 - 37.71,0.4
BEYKOZ,15.45 - 37.71,0.4
ADALAR,15.45 - 37.71,0.4
ARNAVUTKOY,15.45 - 37.71,0.4
BUYUKCEKMECE,37.72 - 189.78,0.2
CATALCA,37.72 - 189.78,0.2
SILIVRI,37.72 - 189.78,0.2
SANCAKTEPE,37.72 - 189.78,0.2
ESENYURT,37.72 - 189.78,0.2
ZEYTINBURNU,0.60 - 3.48,1.0
GAZIOSMANPASA,3.49 - 7.62,0.8
KARTAL,7.63 - 15.44,0.6
SISLI,0.60 - 3.48,1.0
USKUDAR,7.63 - 15.44,0.6
BEYLIKDUZU,3.49 - 7.62,0.8
SILE,37.72 - 189.78,0.2
